"hryear4","prtage","hufaminc","pesex","avg_net_use","n"
2017,4,3,2,85.2941176470588,34
2017,4,4,1,87.037037037037,54
2017,4,4,2,78.7878787878788,66
2017,4,5,1,95.2380952380952,42
2017,4,5,2,95.5555555555556,45
2017,4,6,1,88,75
2017,4,6,2,88.6075949367088,79
2017,4,7,1,88.2882882882883,111
2017,4,7,2,92.7272727272727,110
2017,4,8,1,88.659793814433,97
2017,4,8,2,90.9090909090909,88
2017,4,9,1,91.0891089108911,101
2017,4,9,2,91.6666666666667,96
2017,4,10,1,87.603305785124,121
2017,4,10,2,91.9642857142857,112
2017,4,11,1,90.6666666666667,150
2017,4,11,2,91.4473684210526,152
2017,4,12,1,91.8238993710692,159
2017,4,12,2,94.53125,128
2017,4,13,1,91.4798206278027,223
2017,4,13,2,95.049504950495,202
2017,4,14,1,93.6619718309859,284
2017,4,14,2,95.2173913043478,230
2017,4,15,1,93.3734939759036,332
2017,4,15,2,93.0313588850174,287
2017,4,16,1,93.7931034482759,290
2017,4,16,2,94.4223107569721,251
2017,5,1,1,89.7142857142857,175
2017,5,1,2,89.4472361809045,199
2017,5,2,1,96.0526315789474,76
2017,5,2,2,91.0891089108911,101
2017,5,3,1,85.5263157894737,76
2017,5,3,2,81.3559322033898,59
2017,5,4,1,91.6666666666667,96
2017,5,4,2,87.5,88
2017,5,5,1,88.7640449438202,89
2017,5,5,2,86.6666666666667,90
2017,5,6,1,87.8048780487805,123
2017,5,6,2,91.7355371900827,121
2017,5,7,1,89.5454545454545,220
2017,5,7,2,87.5576036866359,217
2017,5,8,1,91.6666666666667,168
2017,5,8,2,92.1348314606742,178
2017,5,9,1,84.4357976653696,257
2017,5,9,2,91.7647058823529,255
2017,5,10,1,91.7808219178082,219
2017,5,10,2,89.7435897435898,234
2017,5,11,1,89.7260273972603,292
2017,5,11,2,91.566265060241,332
2017,5,12,1,93.125,320
2017,5,12,2,92.3566878980892,314
2017,5,13,1,92.512077294686,414
2017,5,13,2,92.6650366748166,409
2017,5,14,1,91.0550458715596,436
2017,5,14,2,95.8435207823961,409
2017,5,15,1,94.47983014862,471
2017,5,15,2,94.0265486725664,452
2017,5,16,1,94.8087431693989,366
2017,5,16,2,92.6966292134831,356
2017,6,1,1,84.5744680851064,188
2017,6,1,2,84.7926267281106,217
2017,6,2,1,83.5616438356164,73
2017,6,2,2,92.3809523809524,105
2017,6,3,1,83.9080459770115,87
2017,6,3,2,91.5254237288136,118
2017,6,4,1,80.5555555555556,108
2017,6,4,2,83.5616438356164,146
2017,6,5,1,77.7777777777778,90
2017,6,5,2,86.1788617886179,123
2017,6,6,1,87.1681415929203,226
2017,6,6,2,88.1856540084388,237
2017,6,7,1,86.6883116883117,308
2017,6,7,2,89.8203592814371,334
2017,6,8,1,89.1447368421053,304
2017,6,8,2,92.5149700598802,334
2017,6,9,1,88.1927710843374,415
2017,6,9,2,91.0798122065728,426
2017,6,10,1,89.3034825870647,402
2017,6,10,2,90.521327014218,422
2017,6,11,1,90.6906906906907,666
2017,6,11,2,93.2735426008969,669
2017,6,12,1,92.5984251968504,635
2017,6,12,2,94.3333333333333,600
2017,6,13,1,94.4757609921082,887
2017,6,13,2,93.0921052631579,912
2017,6,14,1,93.0702598652551,1039
2017,6,14,2,94.4496707431797,1063
2017,6,15,1,94.184938036225,1049
2017,6,15,2,94.9709864603482,1034
2017,6,16,1,93.6551724137931,725
2017,6,16,2,94.7503201024328,781
2017,7,1,1,66.7779632721202,599
2017,7,1,2,73.9185750636132,786
2017,7,2,1,67.0520231213873,346
